Start time UTC,End time UTC,Electricity consumption (MWh)
12/31/2015 21:00,12/31/2015 22:00,10800
12/31/2015 22:00,12/31/2015 23:00,10431
12/31/2015 23:00,1/1/2016 0:00,10005
1/1/2016 0:00,1/1/2016 1:00,9722
1/1/2016 1:00,1/1/2016 2:00,9599
1/1/2016 2:00,1/1/2016 3:00,9524
1/1/2016 3:00,1/1/2016 4:00,9601
1/1/2016 4:00,1/1/2016 5:00,9793
1/1/2016 5:00,1/1/2016 6:00,9815
1/1/2016 6:00,1/1/2016 7:00,9998
1/1/2016 7:00,1/1/2016 8:00,10035
1/1/2016 8:00,1/1/2016 9:00,10098
1/1/2016 9:00,1/1/2016 10:00,10345
1/1/2016 10:00,1/1/2016 11:00,10478
1/1/2016 11:00,1/1/2016 12:00,10551
1/1/2016 12:00,1/1/2016 13:00,10646
1/1/2016 13:00,1/1/2016 14:00,11104
1/1/2016 14:00,1/1/2016 15:00,11463
1/1/2016 15:00,1/1/2016 16:00,11494
1/1/2016 16:00,1/1/2016 17:00,11518
1/1/2016 17:00,1/1/2016 18:00,11594
1/1/2016 18:00,1/1/2016 19:00,11412
1/1/2016 19:00,1/1/2016 20:00,11076
1/1/2016 20:00,1/1/2016 21:00,11271
1/1/2016 21:00,1/1/2016 22:00,11167
1/1/2016 22:00,1/1/2016 23:00,10709
1/1/2016 23:00,1/2/2016 0:00,10370
1/2/2016 0:00,1/2/2016 1:00,10136
1/2/2016 1:00,1/2/2016 2:00,10036
1/2/2016 2:00,1/2/2016 3:00,10074
1/2/2016 3:00,1/2/2016 4:00,10131
1/2/2016 4:00,1/2/2016 5:00,10442
1/2/2016 5:00,1/2/2016 6:00,10522
1/2/2016 6:00,1/2/2016 7:00,10926
1/2/2016 7:00,1/2/2016 8:00,11100
1/2/2016 8:00,1/2/2016 9:00,11237
1/2/2016 9:00,1/2/2016 10:00,11315
1/2/2016 10:00,1/2/2016 11:00,11353
1/2/2016 11:00,1/2/2016 12:00,11361
1/2/2016 12:00,1/2/2016 13:00,11437
1/2/2016 13:00,1/2/2016 14:00,11717
1/2/2016 14:00,1/2/2016 15:00,12224
1/2/2016 15:00,1/2/2016 16:00,12450
1/2/2016 16:00,1/2/2016 17:00,12355
1/2/2016 17:00,1/2/2016 18:00,12247
1/2/2016 18:00,1/2/2016 19:00,11984
